Detected CPU features: mmx sse sse2 sse3 ssse3 sse4.1 sse4.2 popcnt avx avx2
bpp v4.8.7_macos_x86_64, 128GB RAM, 36 cores
https://github.com/bpp/bpp

Auto-selected SIMD ISA: AVX2


Starting timer..
Seed: 1156397925 (randomly generated)
Parsing species tree... Done
Parsing phylip file... Done

Summary of alignments *before* phasing sequences:
 Locus | Model | Sequences | Length | Ambiguous sites | Compressed | Base freqs 
   355 |  JC69 |        20 |     63 |               0 |          1 |      Fixed 
   356 |  JC69 |         2 |    283 |              12 |          4 |      Fixed 
   357 |  JC69 |         3 |     60 |               0 |          1 |      Fixed 
   358 |  JC69 |        10 |    282 |              15 |         13 |      Fixed 
   359 |  JC69 |        20 |     92 |               3 |          4 |      Fixed 
   360 |  JC69 |        17 |     92 |               0 |          2 |      Fixed 
   361 |  JC69 |         5 |    287 |              10 |          9 |      Fixed 
   362 |  JC69 |        20 |    192 |               4 |          5 |      Fixed 
   363 |  JC69 |        14 |    102 |               3 |          4 |      Fixed 
   364 |  JC69 |        10 |     93 |               1 |          2 |      Fixed 
   365 |  JC69 |        20 |    117 |               1 |          2 |      Fixed 
   366 |  JC69 |        19 |     64 |               1 |          2 |      Fixed 
   367 |  JC69 |        18 |     64 |               3 |          4 |      Fixed 
   368 |  JC69 |         3 |    283 |              58 |         10 |      Fixed 
   369 |  JC69 |         2 |     31 |               0 |          1 |      Fixed 
   370 |  JC69 |         2 |    254 |               3 |          3 |      Fixed 
   371 |  JC69 |        20 |    151 |               2 |          3 |      Fixed 
   372 |  JC69 |        20 |    122 |               3 |          4 |      Fixed 
   373 |  JC69 |         6 |    378 |             115 |          8 |      Fixed 
   374 |  JC69 |         5 |     69 |               8 |          3 |      Fixed 
   375 |  JC69 |        11 |    285 |              29 |         20 |      Fixed 
   376 |  JC69 |        11 |    212 |              15 |         15 |      Fixed 
   377 |  JC69 |        12 |    322 |              65 |         12 |      Fixed 
